title,author,language,avg_ratings,ratings_count,reviews_count,publisher,publish_year,num_pages,page_format,genres,link
The Time Traveler's Wife,Audrey Niffenegger,English,3.99,"1,736,746","51,781",Zola Books,2013.0,537.0,ebook,"['Fiction', 'Romance', 'Fantasy', 'Time Travel', 'Science Fiction', 'Contemporary', 'Adult', 'Chick Lit', 'Adult Fiction', 'Magical Realism']",https://www.goodreads.com/book/show/18619684-the-time-traveler-s-wife
A Thousand Splendid Suns,Khaled Hosseini,English,4.42,"1,429,634","70,275",Riverhead Books,2007.0,372.0,Hardcover,"['Fiction', 'Historical Fiction', 'Contemporary', 'Historical', 'Novels', 'Classics', 'War', 'Adult', 'Drama', 'Adult Fiction']",https://www.goodreads.com/book/show/128029.A_Thousand_Splendid_Suns
The Princess Bride,William Goldman,English,4.26,"870,719","24,239",Ballantine Books,2003.0,456.0,Paperback,"['Fantasy', 'Classics', 'Fiction', 'Romance', 'Humor', 'Young Adult', 'Adventure', 'Comedy', 'Science Fiction Fantasy', 'Fairy Tales']",https://www.goodreads.com/book/show/21787.The_Princess_Bride
The Secret Garden,Frances Hodgson Burnett,English,4.15,"1,098,878","25,756",Children's Classics,1998.0,331.0,Hardcover,"['Classics', 'Fiction', 'Childrens', 'Young Adult', 'Historical Fiction', 'Middle Grade', 'Fantasy', 'Historical', 'Literature', 'Audiobook']",https://www.goodreads.com/book/show/2998.The_Secret_Garden
A Game of Thrones,George R.R. Martin,English,4.44,"2,357,291","60,620",Bantam,2005.0,835.0,Mass Market Paperback,"['Fantasy', 'Fiction', 'Epic Fantasy', 'Adult', 'High Fantasy', 'Science Fiction Fantasy', 'Adventure', 'Audiobook', 'Dragons', 'Novels']",https://www.goodreads.com/book/show/13496.A_Game_of_Thrones
The Outsiders,S.E. Hinton,English,4.12,"1,222,046","42,873",Puffin Books (US/CAN),1997.0,192.0,Mass Market Paperback,"['Classics', 'Young Adult', 'Fiction', 'School', 'Read For School', 'Realistic Fiction', 'Coming Of Age', 'Historical Fiction', 'Contemporary', 'Childrens']",https://www.goodreads.com/book/show/231804.The_Outsiders
A Wrinkle in Time,Madeleine L'Engle,English,3.99,"1,153,949","37,824",Square Fish,2017.0,218.0,Paperback,"['Fantasy', 'Fiction', 'Classics', 'Young Adult', 'Science Fiction', 'Childrens', 'Middle Grade', 'Time Travel', 'Adventure', 'Science Fiction Fantasy']",https://www.goodreads.com/book/show/33574273-a-wrinkle-in-time
The Odyssey,Homer,English,3.8,"1,018,259","17,074",Penguin Classics ,2006.0,541.0,Paperback,"['Classics', 'Fiction', 'Poetry', 'Mythology', 'Fantasy', 'School', 'Literature', 'Adventure', 'Read For School', 'Historical Fiction']",https://www.goodreads.com/book/show/1381.The_Odyssey
Little Women,Louisa May Alcott,English,4.14,"2,087,294","45,061",Signet Classics,2004.0,449.0,Paperback,"['Classics', 'Fiction', 'Historical Fiction', 'Young Adult', 'Romance', 'Historical', 'Literature', 'Childrens', 'Classic Literature', 'Audiobook']",https://www.goodreads.com/book/show/1934.Little_Women
1984,George Orwell,English,4.19,"4,206,469","101,940",Houghton Mifflin Harcourt,2013.0,298.0,Kindle Edition,"['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'Literature', 'Novels', 'Politics', 'School', 'Fantasy', 'Adult']",https://www.goodreads.com/book/show/40961427-1984
The Adventures of Huckleberry Finn,Mark Twain,English,3.83,"1,237,430","18,522",Penguin Classics,2002.0,327.0,Paperback,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'Young Adult', 'Adventure', 'School', 'Novels', 'High School', 'Read For School']",https://www.goodreads.com/book/show/2956.The_Adventures_of_Huckleberry_Finn
The Lovely Bones,Alice Sebold,English,3.84,"2,268,932","44,707","Little, Brown and Company",2006.0,372.0,Mass Market Paperback,"['Fiction', 'Mystery', 'Young Adult', 'Contemporary', 'Fantasy', 'Crime', 'Thriller', 'Adult Fiction', 'Adult', 'Drama']",https://www.goodreads.com/book/show/12232938-the-lovely-bones
Where the Wild Things Are,Maurice Sendak,English,4.24,"963,898","13,426",Red Fox,2000.0,38.0,Paperback,"['Childrens', 'Picture Books', 'Fiction', 'Classics', 'Fantasy', 'Adventure', 'Young Adult', 'Animals', 'Kids', 'Monsters']",https://www.goodreads.com/book/show/19543.Where_the_Wild_Things_Are
The Kite Runner,Khaled Hosseini,English,4.33,"2,957,123","91,234",Riverhead Books,2004.0,371.0,Paperback,"['Fiction', 'Historical Fiction', 'Classics', 'Contemporary', 'Novels', 'Historical', 'Literature', 'Adult', 'School', 'Drama']",https://www.goodreads.com/book/show/77203.The_Kite_Runner
Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,English,3.85,"1,471,801","52,702",Penguin Classics,2018.0,260.0,Paperback,"['Classics', 'Fiction', 'Horror', 'Science Fiction', 'Gothic', 'Fantasy', 'School', 'Literature', 'Novels', 'Read For School']",https://www.goodreads.com/book/show/35031085-frankenstein
Green Eggs and Ham,Dr. Seuss,English,4.3,"735,957","10,952",Random House Books for Young Readers,1988.0,64.0,Hardcover,"['Childrens', 'Picture Books', 'Fiction', 'Classics', 'Poetry', 'Fantasy', 'Humor', 'Kids', 'Food', 'Young Adult']",https://www.goodreads.com/book/show/23772.Green_Eggs_and_Ham
Life of Pi,Yann Martel,English,3.93,"1,553,007","51,541",Seal Books,2006.0,460.0,Paperback,"['Fiction', 'Fantasy', 'Classics', 'Adventure', 'Contemporary', 'Magical Realism', 'Novels', 'Literature', 'India', 'Philosophy']",https://www.goodreads.com/book/show/4214.Life_of_Pi
A Tale of Two Cities,Charles Dickens,English,3.86,"912,214","21,739",Penguin Books,2003.0,489.0,Paperback,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'Historical', 'Novels', 'School', 'Classic Literature', '19th Century', 'British Literature']",https://www.goodreads.com/book/show/1953.A_Tale_of_Two_Cities
The Handmaid’s Tale,Margaret Atwood,English,4.13,"1,893,925","89,453",Anchor Books,1998.0,314.0,Paperback,"['Fiction', 'Classics', 'Dystopia', 'Science Fiction', 'Feminism', 'Fantasy', 'Adult', 'Audiobook', 'Literature', 'Novels']",https://www.goodreads.com/book/show/38447.The_Handmaid_s_Tale
The Giver,Lois Lowry,English,4.12,"2,287,744","75,175",Ember,2006.0,208.0,Paperback,"['Young Adult', 'Fiction', 'Classics', 'Dystopia', 'Science Fiction', 'Fantasy', 'School', 'Middle Grade', 'Childrens', 'Read For School']",https://www.goodreads.com/book/show/3636.The_Giver
Harry Potter and the Deathly Hallows,J.K. Rowling,English,4.62,"3,471,220","79,597",Arthur A. Levine Books,2007.0,759.0,Hardcover,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Adventure', 'Audiobook', 'Middle Grade', 'Classics', 'Science Fiction Fantasy']",https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows
Lolita,Vladimir Nabokov,English,3.88,"795,718","35,020",Penguin,1995.0,368.0,Paperback,"['Classics', 'Fiction', 'Literature', 'Novels', 'Russia', 'Romance', 'Russian Literature', 'Literary Fiction', '20th Century', 'Adult']",https://www.goodreads.com/book/show/7604.Lolita
Water for Elephants,Sara Gruen,English,4.1,"1,557,740","61,356",Algonquin Books,2007.0,368.0,Paperback,"['Fiction', 'Historical Fiction', 'Romance', 'Historical', 'Adult', 'Adult Fiction', 'Contemporary', 'Book Club', 'Novels', 'Audiobook']",https://www.goodreads.com/book/show/43641.Water_for_Elephants
Slaughterhouse-Five,Kurt Vonnegut Jr.,English,4.09,"1,303,783","35,770",Dial Press,1999.0,275.0,Paperback,"['Classics', 'Fiction', 'Science Fiction', 'War', 'Historical Fiction', 'Literature', 'Novels', 'Time Travel', 'Fantasy', 'American']",https://www.goodreads.com/book/show/4981.Slaughterhouse_Five
Dune,Frank Herbert,English,4.26,"1,205,569","53,050",Ace,2019.0,658.0,Hardcover,"['Science Fiction', 'Fiction', 'Fantasy', 'Classics', 'Science Fiction Fantasy', 'Audiobook', 'Space Opera', 'Novels', 'Adventure', 'Adult']",https://www.goodreads.com/book/show/44767458-dune
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,English,4.58,"3,812,727","75,296",Scholastic Inc.,2004.0,435.0,Mass Market Paperback,"['Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Childrens', 'Middle Grade', 'Audiobook', 'Adventure', 'Classics', 'Science Fiction Fantasy']",https://www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban
The Stand,Stephen King,English,4.34,"722,789","27,237",Doubleday Books,1990.0,1152.0,Hardcover,"['Horror', 'Fiction', 'Fantasy', 'Science Fiction', 'Post Apocalyptic', 'Thriller', 'Dystopia', 'Audiobook', 'Apocalyptic', 'Classics']",https://www.goodreads.com/book/show/149267.The_Stand
Catch-22,Joseph Heller,English,3.99,"804,703","21,925",Simon & Schuster ,2004.0,453.0,Paperback,"['Classics', 'Fiction', 'Historical Fiction', 'War', 'Humor', 'Literature', 'Novels', 'American', 'Unfinished', 'Historical']",https://www.goodreads.com/book/show/168668.Catch_22
The Bell Jar,Sylvia Plath,English,4.04,"831,341","43,249",Harper Perennial Modern Classics,2006.0,294.0,Paperback,"['Classics', 'Fiction', 'Feminism', 'Mental Health', 'Psychology', 'Literature', 'Mental Illness', 'Poetry', 'Novels', 'Literary Fiction']",https://www.goodreads.com/book/show/6514.The_Bell_Jar
Matilda,Roald Dahl,English,4.33,"873,253","21,710",Puffin,1998.0,240.0,Paperback,"['Childrens', 'Fiction', 'Classics', 'Fantasy', 'Middle Grade', 'Young Adult', 'Humor', 'Audiobook', 'Magic', 'School']",https://www.goodreads.com/book/show/39988.Matilda
The Pillars of the Earth,Ken Follett,English,4.33,"731,520","35,692",NAL Trade,2002.0,976.0,Paperback,"['Historical Fiction', 'Fiction', 'Historical', 'Fantasy', 'Classics', 'Medieval', 'Audiobook', 'Novels', 'British Literature', 'Adult']",https://www.goodreads.com/book/show/5043.The_Pillars_of_the_Earth
The Adventures of Sherlock Holmes,Arthur Conan Doyle,English,4.3,"285,587","8,610",Oxford University Press,1998.0,389.0,Paperback,"['Classics', 'Mystery', 'Fiction', 'Short Stories', 'Crime', 'Detective', 'Mystery Thriller', 'Audiobook', 'Literature', 'Historical Fiction']",https://www.goodreads.com/book/show/3590.The_Adventures_of_Sherlock_Holmes
Watership Down,Richard  Adams,English,4.08,"467,749","16,396",Avon Books,1975.0,478.0,Mass Market Paperback,"['Classics', 'Fiction', 'Fantasy', 'Young Adult', 'Animals', 'Childrens', 'Adventure', 'Literature', 'Novels', 'Audiobook']",https://www.goodreads.com/book/show/76620.Watership_Down
Great Expectations,Charles Dickens,English,3.79,"763,831","20,386",Oxford University Press,1998.0,544.0,Paperback,"['Classics', 'Fiction', 'Literature', 'Historical Fiction', 'School', 'Novels', '19th Century', 'Classic Literature', 'British Literature', 'Victorian']",https://www.goodreads.com/book/show/2623.Great_Expectations
Rebecca,Daphne du Maurier,English,4.24,"583,875","35,767","Little, Brown and Company",2013.0,449.0,ebook,"['Classics', 'Fiction', 'Mystery', 'Gothic', 'Romance', 'Historical Fiction', 'Thriller', 'Horror', 'Mystery Thriller', 'Audiobook']",https://www.goodreads.com/book/show/17899948-rebecca
