title,author,language,avg_ratings,ratings_count,reviews_count,publisher,publish_year,num_pages,page_format,genres
Summer of the Monkeys,Wilson Rawls,English,4.07,14006,1134,Yearling,1998.0,288.0,Paperback,"['Fiction', 'Young Adult', 'Classics', 'Childrens', 'Historical Fiction', 'Animals', 'Middle Grade', 'Adventure', 'Realistic Fiction', 'School']"
Shades of Earth,Beth Revis,English,4.07,32978,3759,Razorbill,2013.0,369.0,Hardcover,"['Young Adult', 'Science Fiction', 'Dystopia', 'Romance', 'Fantasy', 'Fiction', 'Space', 'Mystery', 'Aliens', 'Adventure']"
The Concrete Blonde,Michael Connelly,English,4.2,65160,2863,Grand Central Publishing,2007.0,484.0,Mass Market Paperback,"['Mystery', 'Fiction', 'Crime', 'Thriller', 'Detective', 'Mystery Thriller', 'Suspense', 'Audiobook', 'Murder Mystery', 'Police']"
The Power,Naomi Alderman,English,3.78,210975,24432,Viking,2017.0,341.0,Hardcover,"['Fiction', 'Science Fiction', 'Feminism', 'Dystopia', 'Fantasy', 'Audiobook', 'Speculative Fiction', 'Adult', 'Book Club', 'Contemporary']"
The Book of Laughter and Forgetting,Milan Kundera,English,3.97,46545,2509,HarperPerennial Modern Classics,1999.0,313.0,Paperback,"['Fiction', 'Czech Literature', 'Literature', 'Novels', 'Classics', 'Philosophy', 'Short Stories', 'Literary Fiction', 'Contemporary', '20th Century']"
The Death of Bunny Munro,Nick Cave,English,3.44,15389,1143,Canongate Books,2009.0,288.0,Hardcover,"['Fiction', 'Contemporary', 'Novels', 'Thriller', 'Music', 'Literature', 'Audiobook', 'Australia', 'Drama', 'Dark']"
"Mountains Beyond Mountains: The Quest of Dr. Paul Farmer, a Man Who Would Cure the World",Tracy Kidder,English,4.19,82422,5370,Random House Trade,2004.0,333.0,Paperback,"['Nonfiction', 'Biography', 'Medicine', 'Science', 'Memoir', 'Medical', 'Health', 'Biography Memoir', 'Social Justice', 'History']"
Stepbrother Dearest,Penelope Ward,English,4.05,67928,6399,CreateSpace Independent Publishing Platform,2014.0,230.0,Paperback,"['Romance', 'New Adult', 'Contemporary', 'Contemporary Romance', 'Erotica', 'Adult', 'Young Adult', 'High School', 'Abuse', 'Fiction']"
Forever,Pete Hamill,English,3.95,12551,1678,Back Bay Books,2003.0,613.0,Paperback,"['Fiction', 'Historical Fiction', 'Fantasy', 'New York', 'Historical', 'Magical Realism', 'Time Travel', 'Ireland', 'Novels', 'Literary Fiction']"
Princess of the Midnight Ball,Jessica Day George,English,3.94,34150,3751,Bloomsbury USA Childrens,2008.0,280.0,Hardcover,"['Fantasy', 'Young Adult', 'Romance', 'Fairy Tales', 'Retellings', 'Fiction', 'Magic', 'Fairy Tale Retellings', 'Young Adult Fantasy', 'Teen']"
1984,George Orwell,English,4.19,4206897,101956,New American Library,1950.0,328.0,Mass Market Paperback,"['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'Literature', 'Novels', 'Politics', 'School', 'Fantasy', 'Adult']"
Four Thousand Weeks: Time Management for Mortals,Oliver Burkeman,English,4.25,52330,5460,"Farrar, Straus and Giroux",2021.0,288.0,Hardcover,"['Nonfiction', 'Self Help', 'Philosophy', 'Productivity', 'Psychology', 'Personal Development', 'Audiobook', 'Business', 'Leadership', 'Management']"
Coin Locker Babies,Ryū Murakami,English,3.79,7835,560,Kodansha,2002.0,393.0,Trade Paperback,"['Fiction', 'Japan', 'Japanese Literature', 'Horror', 'Contemporary', 'Novels', 'Asian Literature', 'Asia', 'Literature', 'Thriller']"
Holy Bible: The New King James Version,Anonymous,,4.53,51975,2551,Thomas Nelson,2006.0,1536.0,Hardcover,"['Religion', 'Christian', 'Nonfiction', 'Reference', 'Christianity', 'Theology', 'Classics', 'History', 'Spirituality', 'Faith']"
Ethereal Fury,Jessica O'Gorek,English,3.95,217,112,Cogent Publishing,2013.0,263.0,Paperback,"['Paranormal', 'Fantasy', 'Young Adult', 'Science Fiction', 'Romance', 'Fiction', 'Dystopia', 'Paranormal Romance', 'Demons']"
Struck By Lightning: The Carson Phillips Journal,Chris Colfer,English,3.81,13229,1628,Little Brown Books for Young Readers,2012.0,272.0,Hardcover,"['Young Adult', 'Contemporary', 'Fiction', 'Realistic Fiction', 'Humor', 'Teen', 'Coming Of Age', 'LGBT', 'Audiobook', 'High School']"
The Poisoner's Handbook: Murder and the Birth of Forensic Medicine in Jazz Age New York,Deborah Blum,English,4.01,33784,3242,Penguin Press,2010.0,319.0,Hardcover,"['Nonfiction', 'History', 'Science', 'True Crime', 'Crime', 'Medicine', 'Historical', 'Mystery', 'Medical', 'Audiobook']"
The Magician,Michael Scott,English,4.1,94115,3232,Delacorte Press,2008.0,464.0,Hardcover,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Mythology', 'Adventure', 'Urban Fantasy', 'Young Adult Fantasy', 'Audiobook', 'Middle Grade']"
