title,author,language,avg_ratings,ratings_count,reviews_count,publisher,publish_year,num_pages,page_format,genres,link
Christine,Stephen King,French,3.83,"229,873","4,712",LGF,2001.0,411.0,Paperback,"['Horror', 'Fiction', 'Thriller', 'Fantasy', 'Supernatural', 'Paranormal', 'Mystery', 'Audiobook', 'Suspense', 'Adult']",https://www.goodreads.com/book/show/10629.Christine
The Pigman,Paul Zindel,English,3.6,"27,479","1,565",HarperTeen,2005.0,166.0,Paperback,"['Young Adult', 'Fiction', 'Classics', 'School', 'Realistic Fiction', 'Read For School', 'Teen', 'Childrens', 'Middle Grade', 'Coming Of Age']",https://www.goodreads.com/book/show/128092.The_Pigman
Night Pleasures,Sherrilyn Kenyon,English,4.2,"77,822","3,107",St. Martin's Press,2009.0,320.0,Hardcover,"['Romance', 'Paranormal', 'Paranormal Romance', 'Fantasy', 'Vampires', 'Urban Fantasy', 'Adult', 'Mythology', 'Fiction', 'Supernatural']",https://www.goodreads.com/book/show/6944032-night-pleasures
When the Lion Feeds,Wilbur Smith,English,4.22,"16,379",605,St. Martin's Paperbacks,2006.0,534.0,Mass Market Paperback,"['Historical Fiction', 'Fiction', 'Africa', 'Adventure', 'Historical', 'Thriller', 'South Africa', 'Action', 'Novels', 'Audiobook']",https://www.goodreads.com/book/show/16951.When_the_Lion_Feeds
Lord of Scoundrels,Loretta Chase,English,4.09,"35,170","3,188",Avon Books,1995.0,375.0,Mass Market Paperback,"['Historical Romance', 'Romance', 'Historical', 'Historical Fiction', 'Regency', 'Fiction', 'Adult', 'Beauty and The Beast', 'Regency Romance', 'Humor']",https://www.goodreads.com/book/show/425377.Lord_of_Scoundrels
Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells,English,3.85,"549,180","4,659",Harper Perennial,2004.0,383.0,Paperback,"['Fiction', 'Chick Lit', 'Contemporary', 'Adult Fiction', 'Southern', 'Adult', 'Historical Fiction', 'Humor', 'Novels', 'Book Club']",https://www.goodreads.com/book/show/137791.Divine_Secrets_of_the_Ya_Ya_Sisterhood
The Truth About Forever,Sarah Dessen,English,4.12,"220,094","8,804",Penguin Group Inc.,2004.0,374.0,Paperback,"['Young Adult', 'Romance', 'Contemporary', 'Fiction', 'Chick Lit', 'Realistic Fiction', 'Teen', 'Young Adult Contemporary', 'Young Adult Romance', 'High School']",https://www.goodreads.com/book/show/51737.The_Truth_About_Forever
Les jeux sont faits,Jean-Paul Sartre,French,3.97,"4,969",291,Assimil Gmbh,1990.0,165.0,Paperback,"['France', 'Philosophy', 'Fiction', 'Classics', 'Plays', 'Literature', 'French Literature', 'School', 'Read For School', 'Drama']",https://www.goodreads.com/book/show/11980.Les_jeux_sont_faits
Archangel's Consort,Nalini Singh,English,4.22,"42,215","1,908",Gollancz,2011.0,324.0,Paperback,"['Paranormal', 'Urban Fantasy', 'Romance', 'Paranormal Romance', 'Angels', 'Fantasy', 'Vampires', 'Adult', 'Supernatural', 'Fiction']",https://www.goodreads.com/book/show/7307503-archangel-s-consort
The Given Day,Dennis Lehane,English,4.06,"25,506","2,903",William Morrow,2008.0,704.0,Hardcover,"['Historical Fiction', 'Fiction', 'Mystery', 'Historical', 'Crime', 'Thriller', 'Mystery Thriller', 'Novels', 'Audiobook', 'Noir']",https://www.goodreads.com/book/show/2830067-the-given-day
